x,y,z
89486,8958,80336
40021,5520,49585
8668,87374,55747
70822,23985,20123
26189,48316,67540
55230,72852,77403
84881,70953,96799
48279,88084,23787
47458,24205,95809
42310,63163,97671
74616,90131,31325
69399,23316,615
95035,41001,46073
63048,67601,55434
63987,68179,68368
30752,90808,37353
90721,80418,21623
61354,84066,48975
13002,62426,80567
91672,91216,67345
69538,74724,42038
16967,57790,78598
48946,74166,72219
17333,3562,42819
86915,98214,17665
5143,17597,68492
34452,59717,35465
41518,31856,46903
6012,85454,76425
88554,53126,70363
14446,23748,24257
42316,28032,54153
12250,5040,49618
92933,7599,41088
84080,77485,87452
22178,83007,81592
80768,73747,75000
61169,24131,84334
19620,92493,52059
83328,34773,86702
76842,56299,85863
65712,79656,70551
41289,38265,56814
80055,87907,53865
79116,77954,78295
79985,4903,6570
93532,55149,57260
81958,33934,19897
7654,6636,30309
92911,32203,2664
70674,99682,55153
86338,57003,21790
2112,56134,63733
55500,89488,10638
65049,48811,66569
20981,26504,33149
51474,62243,44285
86185,59348,2426
52602,18633,50805
35868,48910,39475
79958,12709,4663
60015,62895,17817
62764,23787,18655
97395,50426,31027
51058,63544,55686
24706,36625,31586
6170,95595,39612
26672,62520,88790
83297,82044,59846
75829,67021,40942
30143,8004,49554
41645,39937,81704
94837,49735,50035
25540,71232,22162
88051,7917,48841
56998,67388,90598
80849,18784,33605
68132,81251,91836
9277,43408,35820
4026,47604,52018
80392,77184,8103
97425,75021,46640
97724,64781,823
17175,46175,22086
415,13384,35047
63003,69501,59971
17226,38291,16248
43353,38177,36601
10539,61898,14032
23940,2121,23949
47745,41439,75878
87264,31713,54313
96702,16937,25819
8603,94015,50568
87311,4556,39431
58516,99270,83827
8433,73670,45425
85219,36373,98983
18757,3070,59695
9834,27517,81051
18861,58306,26770
32578,24073,2921
25193,71133,93348
21907,79828,39306
49013,18380,68686
7533,95791,52130
22680,85602,30451
18635,46605,37259
42948,76402,4065
29405,54745,31386
95700,69891,17075
11081,43544,92589
20489,39356,98125
14419,62371,6114
37020,59313,32257
99280,47701,57815
96289,85641,99948
12848,51702,24039
22383,81730,89799
