x,y,z
6195,7317,8501
5086,7621,391
4126,206,881
3804,2845,1845
3561,9673,638
1617,4435,3716
9807,8875,8079
9751,5990,3186
5770,2547,9437
8614,8319,1517
3305,7818,3951
8945,8685,2041
5325,6111,3192
5488,9718,1935
7949,1577,5910
2020,4369,7229
2911,8555,3213
7856,3479,1867
7410,8680,9245
9348,1556,8262
3225,6639,2313
9553,3577,9698
3214,2095,6609
5608,1220,4307
2543,8063,9362
3328,6169,3595
4128,262,8116
9059,3400,597
487,4610,5021
6661,6565,273
4901,908,7776
8227,3962,1873
8648,5026,4737
167,5707,8234
7910,7260,2657
3291,3212,6950
5440,4386,9484
8893,2242,7479
5938,7835,512
4287,2614,9238
8161,7486,4136
6305,1392,5795
9254,9666,7616
6918,7541,9702
5713,9595,4432
4187,8683,1931
3279,8405,8127
2503,5624,832
6874,59,2918
2784,7653,9479
4047,4732,6228
5105,547,8191
2876,942,8271
7665,4700,3575
3583,3629,2824
5599,1660,1088
4456,4469,873
6772,4148,636
3891,3124,6199
3157,1728,8712
8619,6895,4922
938,1646,1754
779,352,2177
9493,3785,8907
8412,14,9364
2739,5798,6060
5969,8182,693
5693,9391,5963
9259,1521,3706
7005,650,6595
8936,1697,2278
9327,956,4802
1516,7383,7570
2595,2447,3091
1777,9102,6483
7757,46,4902
7295,4599,8434
8031,157,256
2189,4402,9661
5793,8436,5517
517,5087,1147
2868,6922,1392
427,4759,885
3252,5185,4879
2996,8012,2161
6004,6610,8699
7878,8491,6507
4614,5901,5221
2557,3790,2662
8078,5232,8479
5114,1250,7122
8974,5013,3621
2686,8395,3334
6662,705,9073
7824,3574,8630
87,2277,6459
3253,8530,9577
8329,4882,8849
8919,3287,8353
5297,6411,3836
8676,1966,6153
6078,9778,9567
2629,3046,4985
3938,5682,56
3228,369,901
4210,3482,4324
2884,1428,9638
3955,2094,6677
2120,1791,1389
9536,1361,100
9594,9483,6323
9452,1289,8106
6013,3713,6767
2299,747,3500
6063,8848,9695
1099,5953,3866
6137,1656,5773
30,7117,506
2320,5571,3498
5747,4326,7799
3090,261,4600
2260,9267,6589
6443,3061,5294
4425,2694,8571
653,6484,6546
8259,2883,2921
1812,3354,5921
5463,2599,2421
14,7153,590
1488,3834,9589
9578,7095,5063
8251,851,5770
5088,9408,6489
6725,689,6750
1016,7171,9543
745,1446,5628
2959,8083,912
108,8873,5419
563,9878,892
3359,6944,3003
7114,5461,9821
2410,6527,7001
7000,8133,5220
5094,1119,1780
9426,5570,4310
7892,6502,5530
3632,3916,2525
3993,6273,5372
6339,4690,8608
2929,235,3120
3295,7179,9420
3812,681,8387
1951,1644,2603
2971,898,683
6410,2828,1351
6743,8908,5874
6261,271,6162
7851,7841,7058
6889,7942,366
9632,7266,4234
744,2149,8576
4558,7755,3272
2801,8699,4037
9251,7502,2485
5558,6090,9655
8770,7685,157
9786,9348,860
3171,7623,2127
9830,95,5876
1043,7109,236
9930,5029,8086
7371,4014,7407
7071,4657,6234
870,7863,7199
551,102,1009
962,3419,6842
7288,4127,9033
594,4340,3736
4718,4627,1659
4134,1591,2415
2632,2403,2055
6857,3290,9471
4278,581,6963
2973,4373,2909
7127,3504,1940
7752,8327,1264
